Country,Year,Secure Internet Servers by Million Population
United Republic of Tanzania,2010,0.400237207
United Republic of Tanzania,2011,0.496175062
United Republic of Tanzania,2012,0.753404336
United Republic of Tanzania,2013,1.076073831
United States of America,2007,1061.762502
United States of America,2008,1174.78819
United States of America,2009,1235.078761
United States of America,2010,1445.050121
United States of America,2011,1563.210065
United States of America,2012,1474.265038
United States of America,2013,1305.970696
Uruguay,2007,37.44326596
Uruguay,2008,42.40200806
Uruguay,2009,35.41212422
Uruguay,2010,44.78078471
Uruguay,2011,70.04610038
Uruguay,2012,80.40637914
Uruguay,2013,75.13805149
Venezuela,2007,6.183120825
Venezuela,2008,6.721120306
Venezuela,2009,7.381999955
Venezuela,2010,7.368313011
Venezuela,2011,7.999830512
Venezuela,2012,10.68276845
Venezuela,2013,11.08362788
Vietnam,2007,0.605548966
Vietnam,2008,1.127789075
Vietnam,2009,1.883173496
Vietnam,2010,3.128864349
Vietnam,2011,4.678961749
Vietnam,2012,6.702495919
Vietnam,2013,8.159725512
Yemen,2007,0.094419068
Yemen,2008,0.184301468
Yemen,2009,0.224925072
Yemen,2010,0.307516476
Yemen,2011,0.429107089
Yemen,2012,0.461169352
Yemen,2013,0.655539404
Zambia,2007,0.082578974
Zambia,2008,0.321116793
Zambia,2009,0.70175269
Zambia,2010,1.210563529
Zambia,2011,1.540290026
Zambia,2012,2.344566102
Zambia,2013,2.751288979
Zimbabwe,2007,0.313967799
Zimbabwe,2008,0.547557693
Zimbabwe,2009,0.620688253
Zimbabwe,2010,0.994113472
Zimbabwe,2011,1.272575299
Zimbabwe,2012,2.987398207
Zimbabwe,2013,3.180291128
